x, y
2022-5-25 23:32:47, 1.5
2022-5-26 0:39:50, 1.585714285714289
2022-5-27 17:45:54, 1.585714285714289
2022-5-28 16:35:57, 1.8999999999999986
2022-5-29 15:25:59, 1.8999999999999986
2022-5-30 14:16:1, 2.057142857142857
2022-5-31 14:16:1, 2.2
2022-6-1 0:31:5, 2.528571428571432
2022-6-2 13:3:9, 2.528571428571432
2022-6-3 11:53:11, 2.8428571428571416
2022-6-4 19:51:15, 3.1571428571428584
2022-6-5 10:40:19, 3.3
2022-6-6 10:40:19, 3.471428571428575
2022-6-7 1:29:23, 4
2022-6-8 1:29:23, 4.100000000000001
2022-6-9 16:18:27, 4.414285714285718
2022-6-10 4:50:31, 5
2022-6-11 4:50:31, 5.200000000000003
2022-6-12 21:56:35, 5.828571428571429
2022-6-13 21:56:35, 6
2022-6-14 3:37:39, 6.142857142857146
2022-6-15 7:1:42, 6.771428571428572
2022-6-16 14:59:45, 7.242857142857147
2022-6-17 14:59:45, 7.3
2022-6-18 3:31:49, 7.399999999999999
2022-6-19 9:12:52, 7.871428571428574
2022-6-20 12:36:55, 8.342857142857142
2022-6-21 22:51:59, 8.657142857142858
2022-6-22 22:51:59, 8.7
2022-6-23 9:7:2, 8.971428571428575
2022-6-24 19:22:6, 9.442857142857143
2022-6-25 19:22:6, 9.5
2022-6-26 3:20:9, 9.600000000000001
2022-6-27 13:35:13, 9.75714285714286
